info: socket.io started
hey 0 [ 'hey', 'hey' ]
hey 1 [ 'hey', 'hey' ]
serialPort: [object Object]
serialPort: [object Object]
opened
opened
[ 0, 0.26, 0.36, 8.62 ]
[ 0.01, 0.37, 0.22, 8.69 ]
[ 0, 0.26, 0.22, 8.66 ]
[ 0.01, 0.25, 0.34, 8.59 ]
[ 0, 0.37, 0.22, 8.66 ]
[ 0, 0.23, 0.23, 8.71 ]
[ 0.01, 0.26, 0.29, 8.6 ]
[ 0.01, 0.33, 0.27, 8.61 ]
[ 0, 0.31, 0.28, 8.66 ]
[ 0.01, 0.25, 0.22, 8.68 ]
[ 0.01, 0.26, 0.34, 8.71 ]
[ 0, 0.36, 0.2, 8.6 ]
[ 0, 0.25, 0.2, 8.68 ]
[ 0.01, 0.25, 0.35, 8.69 ]
[ 0, 0.37, 0.22, 8.6 ]
[ 0, 0.25, 0.22, 8.63 ]
[ 0, 0.26, 0.22, 8.68 ]
[ 0, 0.25, 0.35, 8.64 ]
[ 0.01, 0.36, 0.22, 8.65 ]
[ 0, 0.24, 0.22, 8.68 ]
[ 0.02, 0.26, 0.34, 8.57 ]
[ 0, 0.38, 0.22, 8.63 ]
[ 0, 0.25, 0.22, 8.63 ]
[ 0.01, 0.24, 0.34, 8.53 ]
[ 0.02, 0.36, 0.23, 8.58 ]
[ 0, 0.25, 0.22, 8.58 ]
[ 0, 0.25, 0.22, 8.54 ]
[ 0, 0.25, 0.36, 8.53 ]
[ 0, 0.36, 0.23, 8.58 ]
[ 0.01, 0.25, 0.22, 8.6 ]
[ 0, 0.26, 0.35, 8.64 ]
[ 0, 0.37, 0.22, 8.55 ]
[ 0.02, 0.24, 0.22, 8.55 ]
[ 0, 0.25, 0.37, 8.58 ]
[ 0.01, 0.35, 0.25, 8.54 ]
[ 0.01, 0.26, 0.23, 8.63 ]
[ 0, 0.26, 0.23, 8.53 ]
[ 0.01, 0.25, 0.38, 8.53 ]
[ 0, 0.37, 0.2, 8.55 ]
[ 0.01, 0.26, 0.21, 8.63 ]
[ 0, 0.25, 0.35, 8.61 ]
[ 0.01, 0.38, 0.21, 8.57 ]
[ 0, 0.25, 0.22, 8.65 ]
[ 0, 0.26, 0.39, 8.67 ]
[ 0.02, 0.35, 0.26, 8.68 ]
[ 0.01, 0.27, 0.22, 8.62 ]
[ 0.01, 0.25, 0.21, 8.61 ]
[ 0, 0.26, 0.34, 8.58 ]
[ 0, 0.38, 0.22, 8.54 ]
[ 0.01, 0.25, 0.22, 8.52 ]
[ 0, 0.25, 0.35, 8.52 ]
[ 0, 0.36, 0.22, 8.61 ]
[ 0, 0.25, 0.21, 8.57 ]
[ 0, 0.29, 0.22, 8.63 ]
[ 0, 0.25, 0.36, 8.67 ]
[ 0.02, 0.36, 0.22, 8.58 ]
[ 0, 0.27, 0.21, 8.58 ]
[ 0, 0.26, 0.34, 8.63 ]
[ 0, 0.36, 0.22, 8.5 ]
[ 0, 0.24, 0.22, 8.62 ]
[ 0.01, 0.25, 0.35, 8.6 ]
[ 0, 0.38, 0.21, 8.58 ]
[ 0.01, 0.25, 0.22, 8.55 ]
[ 0.01, 0.25, 0.22, 8.67 ]
[ 0.01, 0.26, 0.33, 8.55 ]
[ 0, 0.38, 0.22, 8.56 ]
[ 0, 0.26, 0.21, 8.61 ]
[ 0, 0.25, 0.34, 8.6 ]
[ 0, 0.37, 0.32, 8.54 ]
[ 0, 0.25, 0.22, 8.6 ]
[ 0.01, 0.26, 0.35, 8.49 ]
[ 0.01, 0.42, 0.24, 8.6 ]
[ 0, 0.25, 0.21, 8.58 ]
[ 0, 0.26, 0.23, 8.62 ]
[ 0, 0.26, 0.34, 8.61 ]
[ 0, 0.35, 0.21, 8.59 ]
[ 0.01, 0.25, 0.23, 8.65 ]
[ 0, 0.26, 0.35, 8.55 ]
[ 0.02, 0.38, 0.31, 8.56 ]
[ 0, 0.25, 0.2, 8.52 ]
[ 0, 0.26, 0.28, 8.52 ]
[ 0.01, 0.35, 0.25, 8.56 ]
[ 0.05, 0.31, 0.26, 8.57 ]
[ 0.04, 0.31, 0.3, 8.63 ]
[ 0.07, 0.26, 0.35, 8.56 ]
[ 0, 0.37, 0.2, 8.59 ]
[ 0, 0.25, 0.21, 8.62 ]
[ 0, 0.26, 0.35, 8.53 ]
[ 0.02, 0.39, 0.21, 8.64 ]
[ 0.01, 0.25, 0.21, 8.53 ]
[ 0, 0.26, 0.22, 8.5 ]
[ 0, 0.26, 0.35, 8.6 ]
[ 0, 0.35, 0.2, 8.64 ]
[ 0, 0.26, 0.22, 8.65 ]
[ 0.02, 0.25, 0.34, 8.57 ]
[ 0, 0.37, 0.22, 8.62 ]
[ 0.02, 0.26, 0.21, 8.6 ]
[ 0, 0.26, 0.34, 8.59 ]
[ 0.02, 0.38, 0.22, 8.55 ]
[ 0, 0.24, 0.22, 8.51 ]
[ 0, 0.25, 0.22, 8.58 ]
[ 0, 0.27, 0.34, 8.54 ]
[ 0.02, 0.37, 0.21, 8.52 ]
[ 0.02, 0.26, 0.34, 8.52 ]
[ 0, 0.25, 0.35, 8.51 ]
[ 0, 0.35, 0.21, 8.56 ]
[ 0, 0.25, 0.21, 8.54 ]
[ 0, 0.25, 0.33, 8.51 ]
[ 0.03, 0.37, 0.23, 8.49 ]
[ 0.02, 0.25, 0.22, 8.53 ]
[ 0.01, 0.25, 0.21, 8.51 ]
[ 0, 0.31, 0.34, 8.57 ]
[ 0.02, 0.37, 0.21, 8.51 ]
[ 0.01, 0.24, 0.34, 8.52 ]
[ 0.01, 0.26, 0.34, 8.45 ]
[ 0, 0.37, 0.21, 8.5 ]
[ 0.02, 0.25, 0.21, 8.51 ]
[ 0, 0.25, 0.31, 8.47 ]
[ 0.03, 0.34, 0.27, 8.56 ]
[ 0.03, 0.26, 0.21, 8.53 ]
[ 0.01, 0.26, 0.22, 8.51 ]
[ 0.02, 0.26, 0.34, 8.6 ]
[ 0, 0.36, 0.2, 8.63 ]
